Card_ID,Customer_ID,Card_Type,Credit_Limit,Outstanding_Balance,Available_Credit,Card_Status,Issue_Date,Expiry_Date
CC000001,C01625,Silver,36556,22631.28,13924.72,Active,2026-04-19,2031-04-19
CC000002,C01930,Gold,307473,176394.08,131078.92,Active,2023-09-16,2028-09-16
CC000003,C04943,Gold,642417,78534.11,563882.89,Active,2022-06-19,2027-06-19
CC000004,C05930,Gold,227824,112287.97,115536.03,Active,2022-10-13,2027-10-13
CC000005,C03963,Platinum,639898,162731.46,477166.54,Active,2023-08-18,2028-08-18
CC000006,C02416,Gold,31703,20009.83,11693.17,Active,2023-05-01,2028-05-01
CC000007,C05361,Gold,491369,102615.36,388753.64,Blocked,2024-07-12,2029-07-12
CC000008,C02009,Platinum,994502,363937.12,630564.88,Active,2026-05-27,2031-05-27
CC000009,C05859,Platinum,1354740,900888.27,453851.73,Active,2023-08-31,2028-08-31
CC000010,C05596,Gold,596922,92618.5,504303.5,Active,2025-11-19,2030-11-19
CC000011,C02014,Silver,124800,62917.48,61882.52,Active,2025-11-06,2030-11-06
CC000012,C06848,Platinum,1277937,819346.55,458590.45,Expired,2023-04-27,2028-04-27
CC000013,C09561,Platinum,305907,111988.99,193918.01,Active,2026-03-28,2031-03-28
CC000014,C04785,Platinum,370555,133076.19,237478.81,Active,2024-03-01,2029-03-01
CC000015,C00691,Gold,274870,144689.29,130180.71,Active,2023-06-03,2028-06-03
CC000016,C08737,Platinum,371339,157292.57,214046.43,Active,2022-02-12,2027-02-12
CC000017,C00596,Gold,176001,44656.84,131344.16,Active,2023-11-02,2028-11-02
CC000018,C04683,Platinum,258655,67336.6,191318.4,Active,2025-03-23,2030-03-23
CC000019,C05866,Gold,480746,70348.54,410397.46,Active,2024-09-10,2029-09-10
CC000020,C02804,Gold,529963,131875.24,398087.76,Active,2026-04-17,2031-04-17
CC000021,C02258,Platinum,681141,136235.09,544905.91,Active,2024-04-27,2029-04-27
CC000022,C06236,Platinum,765158,217242.99,547915.01,Active,2026-03-07,2031-03-07
CC000023,C07917,Platinum,1637603,578724.82,1058878.18,Expired,2021-02-12,2026-02-12
CC000024,C03348,Platinum,1834977,300269.38,1534707.62,Active,2026-04-27,2031-04-27
CC000025,C06330,Gold,367753,240677.99,127075.01,Active,2026-03-13,2031-03-13
CC000026,C01746,Gold,600156,310353.81,289802.19,Active,2023-11-24,2028-11-24
CC000027,C04052,Gold,780099,548055.27,232043.73,Active,2023-02-18,2028-02-18
CC000028,C02439,Gold,170763,106831.8,63931.2,Active,2024-03-27,2029-03-27
CC000029,C05651,Gold,507757,205304.27,302452.73,Active,2026-05-15,2031-05-15
CC000030,C08863,Platinum,2309279,656695.06,1652583.94,Active,2026-05-29,2031-05-29
CC000031,C01473,Gold,311579,221022.61,90556.39,Active,2024-05-21,2029-05-21
CC000032,C02799,Silver,189637,45368.33,144268.67,Active,2025-05-28,2030-05-28
CC000033,C06948,Gold,756116,561752.94,194363.06,Active,2026-02-04,2031-02-04
CC000034,C09611,Gold,317301,238092.84,79208.16,Active,2025-10-19,2030-10-19
CC000035,C05459,Platinum,1444903,386680.05,1058222.95,Active,2025-09-14,2030-09-14
CC000036,C08838,Platinum,965165,154385.3,810779.7,Active,2025-05-13,2030-05-13
CC000037,C00284,Platinum,2395098,1132628.24,1262469.76,Active,2023-02-28,2028-02-28
CC000038,C02643,Platinum,776510,167406.91,609103.09,Active,2025-03-23,2030-03-23
CC000039,C06840,Platinum,1244173,933427.66,310745.34,Active,2023-03-07,2028-03-07
CC000040,C04103,Platinum,526858,199834.4,327023.6,Active,2024-03-14,2029-03-14
CC000041,C05539,Gold,742717,309000.2,433716.8,Active,2025-11-11,2030-11-11
CC000042,C06427,Gold,222056,113651.84,108404.16,Active,2025-06-26,2030-06-26
CC000043,C07137,Gold,274441,163426.5,111014.5,Active,2026-03-07,2031-03-07
CC000044,C06493,Gold,232938,163463.03,69474.97,Active,2026-05-12,2031-05-12
CC000045,C05558,Platinum,2202948,968834.83,1234113.17,Active,2022-05-21,2027-05-21
CC000046,C06800,Platinum,798782,402065.45,396716.55,Active,2019-11-13,2024-11-13
CC000047,C02281,Gold,626833,146231.95,480601.05,Active,2026-03-12,2031-03-12
CC000048,C09359,Platinum,1688308,654677.88,1033630.12,Active,2023-03-03,2028-03-03
CC000049,C02333,Gold,303198,43184.15,260013.85,Active,2025-08-05,2030-08-05
CC000050,C03312,Platinum,314576,86212.52,228363.48,Active,2023-09-13,2028-09-13
CC000051,C00386,Silver,140593,32117.29,108475.71,Active,2025-02-04,2030-02-04
CC000052,C03583,Platinum,279046,114462.3,164583.7,Active,2026-05-15,2031-05-15
CC000053,C02674,Gold,253045,140819.9,112225.1,Active,2025-08-22,2030-08-22
CC000054,C01299,Gold,297793,222885.22,74907.78,Active,2024-11-29,2029-11-29
CC000055,C04821,Gold,709231,309899.12,399331.88,Active,2025-06-11,2030-06-11
CC000056,C08047,Platinum,372634,136116.19,236517.81,Expired,2024-11-05,2029-11-05
CC000057,C08110,Gold,677110,202912.57,474197.43,Active,2023-05-31,2028-05-31
CC000058,C04270,Platinum,782765,440939.29,341825.71,Active,2025-08-27,2030-08-27
CC000059,C09662,Platinum,1256551,977718.0,278833.0,Active,2026-06-25,2031-06-25
CC000060,C00428,Silver,112209,15711.02,96497.98,Active,2025-08-06,2030-08-06
CC000061,C05343,Gold,756926,159108.05,597817.95,Blocked,2026-06-30,2031-06-30
CC000062,C09223,Gold,394851,58424.1,336426.9,Active,2026-07-09,2031-07-09
CC000063,C09932,Platinum,623389,114654.1,508734.9,Active,2023-09-17,2028-09-17
CC000064,C04853,Platinum,2046797,261619.88,1785177.12,Active,2026-02-01,2031-02-01
CC000065,C01269,Platinum,792683,369348.98,423334.02,Active,2025-04-19,2030-04-19
CC000066,C05042,Platinum,2301963,736464.04,1565498.96,Active,2021-10-03,2026-10-03
CC000067,C00293,Silver,199214,61755.93,137458.07,Active,2026-06-25,2031-06-25
CC000068,C09301,Gold,49016,5221.22,43794.78,Active,2023-11-03,2028-11-03
CC000069,C08186,Silver,56209,8503.44,47705.56,Active,2025-07-19,2030-07-19
CC000070,C06018,Silver,121490,87060.33,34429.67,Active,2022-07-09,2027-07-09
CC000071,C07791,Gold,365409,148622.51,216786.49,Active,2024-06-02,2029-06-02
CC000072,C01042,Gold,754634,79595.91,675038.09,Active,2026-06-06,2031-06-06
CC000073,C01861,Platinum,2191226,378009.61,1813216.39,Active,2025-12-24,2030-12-24
CC000074,C07722,Gold,312235,193489.43,118745.57,Active,2026-07-26,2031-07-26
CC000075,C04200,Platinum,1241722,747924.59,493797.41,Active,2025-06-07,2030-06-07
CC000076,C09014,Silver,99201,45016.06,54184.94,Active,2025-11-29,2030-11-29
CC000077,C07839,Gold,43316,7130.2,36185.8,Active,2025-07-03,2030-07-03
CC000078,C08244,Gold,203717,67937.5,135779.5,Active,2024-08-14,2029-08-14
CC000079,C02062,Platinum,369430,228626.05,140803.95,Active,2025-09-13,2030-09-13
CC000080,C08181,Platinum,820278,146265.18,674012.82,Blocked,2025-12-12,2030-12-12
CC000081,C03274,Silver,69073,33287.19,35785.81,Active,2026-06-11,2031-06-11
CC000082,C06580,Gold,355287,142417.04,212869.96,Active,2024-12-07,2029-12-07
CC000083,C04117,Gold,241832,176355.32,65476.68,Active,2022-11-10,2027-11-10
CC000084,C08263,Gold,307786,106978.73,200807.27,Active,2024-11-27,2029-11-27
CC000085,C04127,Platinum,362060,270833.43,91226.57,Active,2026-06-30,2031-06-30
CC000086,C05456,Platinum,2477484,1653820.17,823663.83,Active,2023-08-05,2028-08-05
