FD_ID,Customer_ID,Deposit_Amount,Interest_Rate,Duration_Months,Maturity_Amount,Start_Date,Maturity_Date,Status
FD000001,C03427,283478,5.5,6,291169.31,2024-08-29,2025-02-28,Active
FD000002,C01293,284053,6.5,12,302516.45,2020-09-08,2021-09-08,Active
FD000003,C03426,1603292,7.2,60,2269794.57,2021-02-27,2026-02-27,Active
FD000004,C02047,934834,5.5,6,960197.85,2025-09-11,2026-03-11,Active
FD000005,C09074,2001701,6.8,24,2283188.2,2022-08-26,2024-08-26,Active
FD000006,C06920,466992,7.0,36,572085.28,2026-07-21,2029-07-21,Matured
FD000007,C00817,3569187,6.5,12,3801184.15,2023-10-28,2024-10-28,Active
FD000008,C09243,63628,7.2,60,90078.72,2020-08-08,2025-08-08,Active
FD000009,C07931,3595146,6.5,12,3828830.49,2024-11-15,2025-11-15,Active
FD000010,C02228,755889,6.5,12,805021.78,2026-05-05,2027-05-05,Active
FD000011,C02253,802834,7.2,60,1136579.15,2019-10-19,2024-10-19,Active
FD000012,C08478,141122,7.0,36,172880.52,2025-04-03,2028-04-03,Active
FD000013,C08470,3225376,5.5,6,3312886.67,2019-11-01,2020-05-01,Active
FD000014,C02299,1566807,6.8,24,1787137.67,2023-10-15,2025-10-15,Matured
FD000015,C05507,242201,7.0,36,296706.64,2021-11-18,2024-11-18,Matured
FD000016,C08389,384671,7.2,60,544582.11,2021-06-22,2026-06-22,Closed
FD000017,C00021,1644364,6.5,12,1751247.66,2024-12-26,2025-12-26,Active
FD000018,C07292,3110434,6.5,12,3312612.21,2024-07-30,2025-07-30,Active
FD000019,C02274,2289572,7.0,36,2804824.15,2026-05-30,2029-05-30,Matured
FD000020,C06182,124870,7.0,36,152971.12,2026-06-28,2029-06-28,Active
FD000021,C00881,3108179,6.5,12,3310210.63,2026-06-07,2027-06-07,Active
FD000022,C06541,616121,7.4,120,1258081.64,2024-07-29,2034-07-29,Active
FD000023,C06802,634004,6.5,12,675214.26,2023-05-17,2024-05-17,Active
FD000024,C07833,519241,6.5,12,552991.66,2024-03-19,2025-03-19,Active
FD000025,C05559,711552,6.8,24,811613.29,2026-06-01,2028-06-01,Active
FD000026,C02806,1239462,7.2,60,1754717.24,2024-01-03,2029-01-03,Active
FD000027,C01999,1096963,6.5,12,1168265.59,2020-03-04,2021-03-04,Closed
FD000028,C02512,3899128,6.5,12,4152571.32,2021-11-13,2022-11-13,Active
FD000029,C00077,1227274,6.8,24,1399858.18,2026-05-21,2028-05-21,Matured
FD000030,C05404,948490,7.2,60,1342785.62,2026-04-24,2031-04-24,Active
FD000031,C05756,509948,7.4,120,1041282.83,2023-11-28,2033-11-28,Active
FD000032,C03587,2119955,5.5,6,2177473.47,2023-05-21,2023-11-21,Active
FD000033,C04368,969803,6.5,12,1032840.19,2025-04-22,2026-04-22,Active
