Policy_ID,Customer_ID,Policy_Type,Premium,Coverage,Start_Date,End_Date,Policy_Status
P000001,C06253,Life,35250.35,1419610,2024-03-03,2025-03-03,Active
P000002,C04685,Life,64002.64,2719583,2026-05-20,2027-05-20,Expired
P000003,C01732,Health,14728.61,1384834,2022-03-10,2023-03-10,Active
P000004,C04743,Life,30674.21,1445199,2023-05-05,2024-05-05,Active
P000005,C04522,Health,19881.22,1379796,2025-09-10,2026-09-10,Active
P000006,C06341,Vehicle,7724.39,306814,2026-07-19,2027-07-19,Active
P000007,C00577,Life,74225.28,5661907,2023-06-05,2024-06-05,Expired
P000008,C05203,Life,44982.18,2556017,2022-04-12,2023-04-12,Active
P000009,C06364,Vehicle,15093.93,577370,2026-05-04,2027-05-04,Active
P000010,C00440,Vehicle,8067.57,696922,2022-09-20,2023-09-20,Active
P000011,C02751,Life,152277.86,7067228,2025-10-16,2026-10-16,Active
P000012,C07488,Life,122812.85,4823498,2023-10-26,2024-10-26,Expired
P000013,C05273,Vehicle,7144.99,405907,2020-06-10,2021-06-10,Active
P000014,C05654,Health,14638.36,841110,2023-06-01,2024-06-01,Active
P000015,C04000,Health,44394.6,1933503,2025-11-30,2026-11-30,Active
P000016,C06034,Life,67763.18,5107245,2026-02-19,2027-02-19,Active
P000017,C00583,Vehicle,23076.2,971088,2026-07-22,2027-07-22,Active
P000018,C09931,Life,28264.95,1938483,2026-02-04,2027-02-04,Active
P000019,C07052,Life,62189.54,5491946,2023-07-24,2024-07-24,Expired
P000020,C08159,Vehicle,8978.57,629963,2025-07-23,2026-07-23,Active
P000021,C09897,Vehicle,18679.95,974079,2022-04-25,2023-04-25,Active
P000022,C02250,Health,34852.99,1677274,2026-06-30,2027-06-30,Active
P000023,C04641,Vehicle,16402.87,911878,2026-01-12,2027-01-12,Active
P000024,C09486,Health,31167.66,1568554,2024-02-28,2025-02-28,Active
P000025,C04948,Vehicle,10378.48,460265,2026-01-22,2027-01-22,Active
P000026,C09921,Life,36555.36,2065818,2024-12-14,2025-12-14,Active
