Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,EMI,Remaining_Balance,Loan_Status,Start_Date,End_Date
L000001,C00876,Personal,152451,16.06,2559.46,58612.86,Active,2026-04-20,2036-04-20
L000002,C07327,Auto,1443716,8.85,12850.54,1204655.88,Active,2019-09-09,2039-09-09
L000003,C09308,Home,2131262,7.58,25387.53,871840.71,Active,2020-02-10,2030-02-10
L000004,C08461,Home,3384119,9.27,70693.03,0.0,Closed,2025-10-09,2030-10-09
L000005,C06821,Education,1972573,9.02,25009.08,721082.17,Active,2025-05-30,2035-05-30
L000006,C07543,Home,1898382,7.79,17912.53,635977.35,Active,2025-07-21,2040-07-21
L000007,C05184,Personal,1224551,11.44,13008.39,850787.67,Active,2026-04-04,2046-04-04
L000008,C03809,Personal,858403,14.83,20344.83,635622.71,Active,2025-08-11,2030-08-11
L000009,C00381,Home,1667335,10.07,35483.4,971410.69,Active,2026-02-25,2031-02-25
L000010,C05484,Auto,982220,9.98,12969.23,401458.64,Active,2026-07-11,2036-07-11
L000011,C08123,Personal,249741,15.07,4039.91,181969.37,Active,2025-08-02,2035-08-02
L000012,C06917,Personal,666121,17.92,11968.23,206499.95,Active,2026-06-10,2036-06-10
L000013,C07002,Personal,580348,16.66,8792.11,495424.5,Active,2022-11-09,2037-11-09
L000014,C02474,Home,6779418,8.14,57297.88,1761405.93,Active,2025-07-28,2045-07-28
L000015,C02134,Auto,855493,9.06,8707.54,513378.2,Active,2021-08-17,2036-08-17
L000016,C03587,Personal,859161,12.14,12396.1,718570.82,Active,2022-11-10,2032-11-10
L000017,C06718,Personal,329950,11.65,4667.31,0.0,Closed,2026-06-01,2036-06-01
L000018,C03675,Personal,233227,13.39,2797.48,51367.11,Active,2025-09-23,2045-09-23
L000019,C00514,Auto,348154,11.22,7607.97,182474.74,Active,2025-11-19,2030-11-19
L000020,C05402,Home,4353598,7.83,35955.98,3908348.04,Active,2026-03-09,2046-03-09
L000021,C00039,Personal,652366,17.79,11666.62,538536.24,Active,2025-12-10,2035-12-10
L000022,C05992,Auto,2429292,10.94,33381.05,1911647.95,Active,2026-02-17,2036-02-17
L000023,C01349,Auto,302398,10.9,3100.76,75487.91,Active,2023-07-31,2043-07-31
L000024,C08836,Auto,1589807,9.46,20536.91,0.0,Closed,2026-05-18,2036-05-18
L000025,C06622,Auto,659256,11.43,14475.6,0.0,Closed,2024-02-25,2029-02-25
L000026,C09557,Personal,363738,11.46,3868.99,0.0,Closed,2022-12-14,2042-12-14
L000027,C06302,Personal,1206612,17.04,17735.3,0.0,Closed,2026-06-05,2046-06-05
L000028,C09239,Auto,1883905,11.42,26400.7,1169349.99,Active,2022-11-25,2032-11-25
L000029,C00264,Personal,883119,13.79,10847.33,655902.96,Active,2021-07-17,2041-07-17
L000030,C05807,Personal,1333772,14.65,21233.43,539525.9,Active,2025-05-26,2035-05-26
L000031,C02344,Personal,241348,17.29,3764.07,177003.84,Active,2023-07-27,2038-07-27
L000032,C02828,Auto,1198574,10.66,12095.42,681891.45,Active,2025-09-20,2045-09-20
L000033,C02164,Home,1598907,7.79,13165.69,978896.29,Active,2025-02-04,2045-02-04
L000034,C00880,Auto,527210,11.19,11512.84,205743.96,Active,2021-09-30,2026-09-30
L000035,C05982,Auto,758307,9.49,9808.16,608065.45,Active,2023-03-23,2033-03-23
L000036,C02211,Home,5380805,8.25,109748.25,1598398.4,Active,2022-09-19,2027-09-19
L000037,C00421,Auto,512182,11.11,11164.2,0.0,Closed,2026-07-26,2031-07-26
L000038,C05371,Auto,2079843,9.45,19319.01,1560666.12,Active,2024-05-16,2044-05-16
